GLOBALTIME -> ID  -- Machines Assigned
       780 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       780 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       780 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       780 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       780 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       780 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       780 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       780 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       780 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       780 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       780 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       780 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       780 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       780 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       780 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       780 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       780 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       780 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       780 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       780 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       780 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       780 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       780 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       840 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       840 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       840 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       840 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       840 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       840 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       840 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       840 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       840 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       840 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       840 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       840 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       840 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       840 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       840 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       840 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       840 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       840 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       840 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       840 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       840 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       840 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       840 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       840 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       900 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       900 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       900 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       900 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       900 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       900 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       900 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       900 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       900 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       900 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       900 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       900 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       900 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       900 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       900 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       900 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       900 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       900 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       900 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       900 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       900 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       900 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       900 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       900 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       960 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       960 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       960 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       960 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       960 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       960 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       960 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       960 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       960 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       960 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       960 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       960 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       960 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       960 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
