GLOBALTIME -> ID  -- Machines Assigned
       780 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       780 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       780 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       780 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       780 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       780 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       780 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       780 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       780 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       780 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       780 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       780 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       780 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       780 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       780 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       780 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       780 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       780 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       780 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       780 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       840 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       840 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       840 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       840 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       840 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       840 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       840 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       840 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       840 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       840 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       840 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       840 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       840 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       840 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       840 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       840 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       840 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       840 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       840 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       840 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       840 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       840 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       840 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       840 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       900 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       900 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       900 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       900 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       900 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       900 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       900 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       900 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       900 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       900 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       900 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       900 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       900 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       900 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       900 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       900 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       900 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       900 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       900 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       900 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       900 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       900 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       900 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       900 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       960 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       960 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       960 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       960 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       960 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       960 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       960 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       960 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       960 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       960 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       960 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       960 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       960 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       960 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       960 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       960 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       960 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       960 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       960 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       960 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
