GLOBALTIME -> ID  -- Machines Assigned
       900 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       900 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       900 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       900 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       900 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       900 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       900 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       900 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       900 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       900 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       900 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       900 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       960 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       960 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       960 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       960 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       960 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       960 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       960 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       960 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       960 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       960 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       960 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       960 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       960 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       960 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       960 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       960 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       960 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       960 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       960 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       960 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
